"ISO3","Name","med_percchange","pop2020","gdp2020","vulhealth2020","medstaff2020","projecteddeathperc2020","sanitation2020"
"TON","Tonga",NA,105697,6695.14286214142,0.653720839566476,NA,1.04,33.79848179
"TTO","Trinidad and Tobago",-19.3000006675721,1399491,25023.6952469772,0.371393497156,5.40000009536743,1.075,NA
"TUN","Tunisia",0.19999980926514,11818618,10822.8471746334,0.337651161588253,8.19999980926514,1.06,80.75702279
"TUR","Turkey",0,84339067,27235.4258308094,0.294201513270838,0,1.035,78.42842829
"TKM","Turkmenistan",NA,6031187,16195.5387877252,0.370462608867471,NA,1.035,NA
"TUV","Tuvalu",NA,11792,4652.95384438438,0.70319410558373,NA,1.04,6.115298329
"UGA","Uganda",-26.7000007629395,45741000,2294.33510740949,0.762861939374085,48.2999992370605,1.085,NA
"UKR","Ukraine",0,44134693,13054.7609939201,0.312595341221252,19,1.035,71.96382102
"ARE","United Arab Emirates",NA,9890400,66771.4997535294,0.315933328085712,NA,1.06,99.22957
"GBR","United Kingdom",0,67215293,46482.8622423026,0.187642628129469,0,1.03,98.09505713
"USA","United States",0,331501080,63206.5210767941,0.174174872159162,0,1.03,98.26364733
"URY","Uruguay",NA,3473727,22793.6879803833,0.425052196883138,NA,1.075,NA
"UZB","Uzbekistan",0,34232050,7734.02449532989,0.35248237245322,52.2000007629395,1.035,NA
"VUT","Vanuatu",NA,307150,3010.85512902338,0.678532967900164,NA,1.04,NA
"VEN","Venezuela, Bolivarian Republic o",12.0999984741211,28435943,17527.7487382376,0.520600649659117,44.0999984741211,1.075,23.06658961
"VNM","Viet Nam",-40.7999982833862,97338583,8650.13346960462,0.368965823305985,13.8000001907349,1.04,NA
"YEM","Yemen",-1,29825968,3688.51940852363,0.737925390820834,66.1999969482422,1.135,18.83797863
"ZMB","Zambia",-2.5,18383956,3457.61010164947,0.777342861072845,54.5999984741211,1.085,NA
"ZWE","Zimbabwe",29.7999999523163,14862927,3537.35139379584,0.731556847336588,33.5,1.085,25.65058817
